Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 34.8 0.480376 0.128127 0.299847 0.0916499 1 
1 35 0.479565 0.127906 0.300557 0.0919713 1 
1 35.2 0.478861 0.127511 0.301344 0.0922838 1 
1 35.4 0.477885 0.127356 0.302204 0.0925543 1 
1 35.6 0.476353 0.127735 0.303101 0.092811 1 
1 35.8 0.474247 0.128684 0.303977 0.0930929 1 
1 36 0.471865 0.129964 0.304785 0.0933856 1 
1 36.2 0.469657 0.131183 0.305509 0.0936519 1 
1 36.4 0.467948 0.131978 0.306171 0.0939024 1 
1 36.6 0.466795 0.132201 0.306823 0.0941812 1 
1 36.8 0.466018 0.131976 0.307516 0.0944908 1 
1 37 0.4653 0.131636 0.308281 0.0947833 1 
1 37.2 0.46429 0.131563 0.309111 0.0950359 1 
1 37.4 0.462746 0.132006 0.309965 0.0952835 1 
1 37.6 0.460692 0.132965 0.310786 0.0955566 1 
1 37.8 0.458444 0.134192 0.311531 0.0958325 1 
1 38 0.456419 0.135313 0.312188 0.09608 1 
1 38.2 0.454888 0.13601 0.312783 0.0963195 1 
1 38.4 0.453866 0.136176 0.313366 0.0965918 1 
1 38.6 0.453166 0.135958 0.313988 0.0968882 1 
1 38.8 0.452483 0.135679 0.314676 0.0971616 1 
1 39 0.451494 0.135687 0.315419 0.0974 1 
1 39.2 0.45 0.136187 0.316172 0.0976408 1 
1 39.4 0.448066 0.137148 0.316881 0.0979047 1 
1 39.6 0.446015 0.138316 0.317505 0.0981636 1 
1 39.8 0.444226 0.139342 0.318037 0.0983953 1 
1 40 0.442916 0.13995 0.318507 0.0986272 1 
1 40.2 0.442072 0.140071 0.318964 0.0988934 1 
1 40.4 0.441499 0.139869 0.319456 0.0991763 1 
1 40.6 0.440907 0.139655 0.320006 0.0994328 1 
1 40.8 0.44 0.13974 0.320599 0.099661 1 
1 41 0.438623 0.14029 0.32119 0.0998969 1 
1 41.2 0.436878 0.141244 0.321726 0.100151 1 
1 41.4 0.435085 0.142349 0.322171 0.100394 1 
1 41.6 0.433582 0.143282 0.322522 0.100614 1 
1 41.8 0.432541 0.143809 0.322809 0.100841 1 
1 42 0.43192 0.143896 0.323082 0.101102 1 
1 42.2 0.431524 0.143717 0.323387 0.101372 1 
1 42.4 0.431074 0.14357 0.323741 0.101615 1 
1 42.6 0.430308 0.143728 0.324128 0.101837 1 
1 42.8 0.429111 0.144318 0.324501 0.10207 1 
1 43 0.427617 0.145257 0.324812 0.102314 1 
1 43.2 0.426134 0.146295 0.325026 0.102544 1 
1 43.4 0.424961 0.147138 0.325145 0.102756 1 
1 43.6 0.424226 0.147591 0.325201 0.102982 1 
1 43.8 0.423867 0.147653 0.325244 0.103237 1 
1 44 0.423686 0.147504 0.325314 0.103496 1 
1 44.2 0.423422 0.147422 0.325427 0.103729 1 
1 44.4 0.422843 0.147646 0.325562 0.103949 1 
1 44.6 0.421879 0.148267 0.325675 0.104179 1 
1 44.8 0.420682 0.149183 0.325719 0.104416 1 
1 45 0.419548 0.15015 0.325665 0.104636 1 
1 45.2 0.418732 0.150906 0.325518 0.104844 1 
1 45.4 0.418325 0.151294 0.325311 0.10507 1 
1 45.6 0.41825 0.151338 0.325091 0.105321 1 
1 45.8 0.41831 0.151222 0.324896 0.105572 1 
1 46 0.418258 0.151203 0.324738 0.1058 1 
1 46.2 0.417899 0.151485 0.324596 0.106021 1 
1 46.4 0.417199 0.152126 0.324425 0.10625 1 
1 46.6 0.416328 0.153011 0.324182 0.10648 1 
1 46.8 0.415558 0.153906 0.323842 0.106694 1 
1 47 0.415105 0.154579 0.323413 0.106903 1 
1 47.2 0.415032 0.154908 0.32293 0.10713 1 
1 47.4 0.415244 0.15494 0.322436 0.107379 1 
1 47.6 0.415548 0.15486 0.321968 0.107624 1 
1 47.8 0.415716 0.1549 0.321532 0.107853 1 
1 48 0.415588 0.15523 0.321106 0.108076 1 
1 48.2 0.415163 0.155882 0.320649 0.108306 1 
1 48.4 0.41462 0.156728 0.32012 0.108531 1 
1 48.6 0.414208 0.157549 0.319499 0.108744 1 
1 48.8 0.414106 0.158143 0.318796 0.108956 1 
1 49 0.414347 0.15842 0.318045 0.109187 1 
1 49.2 0.414829 0.158447 0.317289 0.109435 1 
1 49.4 0.41536 0.158402 0.316559 0.109679 1 
1 49.6 0.415734 0.158495 0.315861 0.10991 1 
1 49.8 0.415826 0.158866 0.31517 0.110139 1 
1 50 0.415665 0.159518 0.314447 0.11037 1 
1 50.2 0.41543 0.16032 0.313656 0.110594 1 
1 50.4 0.415346 0.161066 0.31278 0.110809 1 
1 50.6 0.415557 0.161585 0.311831 0.111026 1 
1 50.8 0.416076 0.161818 0.310844 0.111263 1 
1 51 0.416787 0.161842 0.309858 0.111512 1 
1 51.2 0.417508 0.161833 0.308902 0.111758 1 
1 51.4 0.418055 0.161973 0.307976 0.111995 1 
1 51.6 0.418337 0.162374 0.307059 0.11223 1 
1 51.8 0.418406 0.163019 0.306111 0.112464 1 
1 52 0.418438 0.16377 0.305101 0.11269 1 
1 52.2 0.418631 0.164443 0.304017 0.112909 1 
1 52.4 0.419102 0.164893 0.302871 0.113135 1 
1 52.6 0.41984 0.165087 0.301696 0.113377 1 
1 52.8 0.420725 0.165113 0.300532 0.11363 1 
1 53 0.421582 0.165137 0.2994 0.113881 1 
1 53.2 0.422253 0.165319 0.298302 0.114126 1 
1 53.4 0.422678 0.165742 0.297213 0.114368 1 
1 53.6 0.422927 0.16637 0.296098 0.114605 1 
1 53.8 0.423166 0.167069 0.294929 0.114836 1 
1 54 0.423572 0.16767 0.293696 0.115062 1 
1 54.2 0.424233 0.168056 0.292414 0.115296 1 
1 54.4 0.425122 0.168217 0.291116 0.115544 1 
1 54.6 0.426112 0.168249 0.289836 0.115803 1 
1 54.8 0.427039 0.168304 0.288594 0.116062 1 
1 55 0.427775 0.168521 0.287388 0.116316 1 
1 55.2 0.428285 0.168958 0.286193 0.116564 1 
1 55.4 0.42865 0.169565 0.284979 0.116807 1 
1 55.6 0.429028 0.170209 0.283719 0.117044 1 
1 55.8 0.429573 0.170741 0.282408 0.117279 1 
1 56 0.430348 0.17107 0.281061 0.117521 1 
1 56.2 0.43131 0.171204 0.279709 0.117776 1 
1 56.4 0.432331 0.171243 0.278384 0.118042 1 
1 56.6 0.43326 0.171328 0.277101 0.11831 1 
1 56.8 0.433996 0.171575 0.275857 0.118573 1 
1 57 0.434526 0.172018 0.274629 0.118827 1 
1 57.2 0.43494 0.172598 0.273386 0.119075 1 
1 57.4 0.435386 0.173187 0.272107 0.11932 1 
1 57.6 0.435993 0.173655 0.270789 0.119563 1 
1 57.8 0.436805 0.173934 0.269448 0.119813 1 
1 58 0.437764 0.174047 0.268113 0.120076 1 
1 58.2 0.438742 0.174096 0.266811 0.120351 1 
1 58.4 0.439606 0.174209 0.265557 0.120628 1 
1 58.6 0.440279 0.17448 0.264344 0.120897 1 
1 58.8 0.440768 0.174925 0.26315 0.121158 1 
1 59 0.441166 0.175475 0.261947 0.121412 1 
1 59.2 0.441609 0.176009 0.260718 0.121664 1 
1 59.4 0.442207 0.176418 0.25946 0.121916 1 
1 59.6 0.442985 0.176652 0.25819 0.122173 1 
1 59.8 0.44387 0.176751 0.256936 0.122443 1 
1 60 0.44474 0.176812 0.255722 0.122726 1 
1 60.2 0.44548 0.176951 0.254558 0.123011 1 
1 60.4 0.446035 0.177242 0.253437 0.123287 1 
1 60.6 0.446428 0.177683 0.252336 0.123552 1 
1 60.8 0.446753 0.178201 0.251232 0.123813 1 
1 61 0.447134 0.178684 0.25011 0.124072 1 
1 61.2 0.447663 0.179038 0.248968 0.12433 1 
1 61.4 0.448346 0.179236 0.247825 0.124593 1 
1 61.6 0.4491 0.179325 0.246705 0.12487 1 
1 61.8 0.449809 0.179401 0.245629 0.125161 1 
1 62 0.450379 0.179565 0.244605 0.125452 1 
1 62.2 0.450774 0.179871 0.243623 0.125732 1 
1 62.4 0.451029 0.180307 0.242663 0.126002 1 
1 62.6 0.451236 0.180792 0.241704 0.126268 1 
1 62.8 0.45151 0.181225 0.240732 0.126533 1 
1 63 0.451924 0.181532 0.239749 0.126795 1 
1 63.2 0.452465 0.181699 0.238773 0.127063 1 
1 63.4 0.453046 0.181783 0.237824 0.127347 1 
1 63.6 0.453559 0.181875 0.236922 0.127644 1 
1 63.8 0.453928 0.182063 0.236069 0.12794 1 
1 64 0.454137 0.182383 0.235258 0.128221 1 
1 64.2 0.454227 0.182809 0.23447 0.128494 1 
1 64.4 0.454289 0.183262 0.233684 0.128765 1 
1 64.6 0.454427 0.183649 0.23289 0.129034 1 
1 64.8 0.454696 0.183914 0.232092 0.129298 1 
1 65 0.455068 0.184057 0.231305 0.12957 1 
1 65.2 0.455452 0.184141 0.230549 0.129859 1 
1 65.4 0.455751 0.184251 0.229837 0.130161 1 
1 65.6 0.455908 0.184461 0.229173 0.130458 1 
1 65.8 0.45592 0.184793 0.228548 0.13074 1 
1 66 0.455834 0.185208 0.227943 0.131015 1 
1 66.2 0.455741 0.185629 0.227342 0.131289 1 
1 66.4 0.45573 0.185974 0.226737 0.131559 1 
1 66.6 0.455842 0.186202 0.226131 0.131824 1 
1 66.8 0.456035 0.186328 0.225539 0.132097 1 
1 67 0.456217 0.186415 0.224978 0.132391 1 
1 67.2 0.456302 0.186545 0.224458 0.132695 1 
1 67.4 0.456251 0.186776 0.223982 0.132991 1 
1 67.6 0.456072 0.187116 0.22354 0.133272 1 
1 67.8 0.455817 0.18752 0.223116 0.133548 1 
1 68 0.455572 0.18791 0.222696 0.133823 1 
1 68.2 0.455418 0.188217 0.222273 0.134092 1 
1 68.4 0.455377 0.188414 0.221852 0.134356 1 
1 68.6 0.455397 0.188526 0.221446 0.134631 1 
1 68.8 0.455386 0.188621 0.221067 0.134926 1 
1 69 0.455273 0.188771 0.220726 0.135231 1 
1 69.2 0.455032 0.189023 0.220422 0.135524 1 
1 69.4 0.454682 0.189369 0.220146 0.135803 1 
1 69.6 0.454277 0.18976 0.219886 0.136078 1 
1 69.8 0.453899 0.190121 0.219629 0.136351 1 
1 70 0.453618 0.190394 0.219371 0.136618 1 
1 70.2 0.453442 0.190564 0.219115 0.13688 1 
1 70.4 0.453308 0.190667 0.218871 0.137154 1 
1 70.6 0.453128 0.190771 0.218651 0.13745 1 
1 70.8 0.452843 0.190942 0.218463 0.137752 1 
1 71 0.452442 0.191212 0.218305 0.138041 1 
1 71.2 0.45195 0.191564 0.21817 0.138317 1 
1 71.4 0.451423 0.191941 0.218047 0.13859 1 
1 71.6 0.45094 0.192273 0.217926 0.138861 1 
1 71.8 0.450559 0.192515 0.217804 0.139122 1 
1 72 0.450274 0.192662 0.217683 0.139381 1 
1 72.2 0.450013 0.19276 0.217572 0.139655 1 
1 72.4 0.449695 0.192875 0.21748 0.13995 1 
1 72.6 0.449274 0.193067 0.217412 0.140247 1 
1 72.8 0.448748 0.193353 0.217368 0.140531 1 
1 73 0.448149 0.193708 0.217341 0.140802 1 
1 73.2 0.447535 0.194071 0.217323 0.141072 1 
1 73.4 0.446979 0.194376 0.217306 0.141338 1 
1 73.6 0.446529 0.194589 0.217288 0.141594 1 
1 73.8 0.446164 0.194717 0.21727 0.141849 1 
1 74 0.445809 0.194811 0.217258 0.142122 1 
1 74.2 0.445388 0.194939 0.217259 0.142413 1 
1 74.4 0.444867 0.19515 0.217277 0.142705 1 
1 74.6 0.444254 0.195452 0.217312 0.142982 1 
1 74.8 0.443584 0.195807 0.21736 0.143249 1 
1 75 0.442917 0.196154 0.217414 0.143515 1 
1 75.2 0.442322 0.196434 0.217469 0.143775 1 
1 75.4 0.441834 0.19662 0.217522 0.144024 1 
1 75.6 0.441419 0.196731 0.217575 0.144275 1 
1 75.8 0.441001 0.196824 0.217629 0.144545 1 
1 76 0.440511 0.196965 0.217691 0.144833 1 
1 76.2 0.439926 0.197193 0.217763 0.145118 1 
1 76.4 0.43926 0.197507 0.217845 0.145388 1 
1 76.6 0.438552 0.197861 0.217937 0.14565 1 
1 76.8 0.437864 0.198192 0.218034 0.14591 1 
1 77 0.437259 0.198446 0.218132 0.146163 1 
1 77.2 0.436759 0.198607 0.218229 0.146406 1 
1 77.4 0.436321 0.198703 0.218323 0.146653 1 
1 77.6 0.435867 0.198797 0.218416 0.14692 1 
1 77.8 0.435337 0.19895 0.21851 0.147202 1 
1 78 0.434718 0.199194 0.218609 0.14748 1 
1 78.2 0.434027 0.199517 0.218714 0.147743 1 
1 78.4 0.433308 0.199867 0.218825 0.148 1 
1 78.6 0.432624 0.20018 0.218942 0.148254 1 
1 78.8 0.432031 0.200409 0.219061 0.148499 1 
1 79 0.431538 0.200547 0.21918 0.148736 1 
1 79.2 0.431096 0.20063 0.219295 0.148979 1 
1 79.4 0.430627 0.200725 0.219405 0.149242 1 
1 79.6 0.43008 0.200889 0.219513 0.149518 1 
1 79.8 0.429447 0.201146 0.219619 0.149788 1 
1 80 0.428751 0.201475 0.219729 0.150045 1 
1 80.2 0.42804 0.201819 0.219844 0.150297 1 
1 80.4 0.427376 0.202114 0.219967 0.150544 1 
1 80.6 0.426807 0.202318 0.220094 0.150781 1 
1 80.8 0.426334 0.202434 0.220221 0.151011 1 
1 81 0.425899 0.202506 0.220345 0.15125 1 
1 81.2 0.425427 0.202602 0.220461 0.15151 1 
1 81.4 0.424875 0.202775 0.220571 0.151779 1 
1 81.6 0.42424 0.203043 0.220676 0.152041 1 
1 81.8 0.423551 0.203375 0.220782 0.152292 1 
1 82 0.422856 0.20371 0.220896 0.152538 1 
1 82.2 0.422219 0.203986 0.221018 0.152778 1 
1 82.4 0.42168 0.204166 0.221148 0.153006 1 
1 82.6 0.421228 0.204261 0.221281 0.15323 1 
1 82.8 0.420801 0.204323 0.221409 0.153466 1 
1 83 0.420331 0.204419 0.221529 0.153721 1 
1 83.2 0.419777 0.204602 0.221638 0.153982 1 
1 83.4 0.419144 0.204877 0.221742 0.154237 1 
1 83.6 0.418462 0.20521 0.221846 0.154482 1 
1 83.8 0.417785 0.205534 0.221959 0.154722 1 
1 84 0.417172 0.205789 0.222085 0.154954 1 
1 84.2 0.416657 0.205946 0.222222 0.155175 1 
1 84.4 0.41622 0.206022 0.222364 0.155394 1 
1 84.6 0.415798 0.206074 0.222502 0.155626 1 
1 84.8 0.415324 0.206172 0.22263 0.155875 1 
1 85 0.414765 0.20636 0.222745 0.156129 1 
1 85.2 0.414128 0.206641 0.222854 0.156377 1 
1 85.4 0.413448 0.206971 0.222964 0.156616 1 
1 85.6 0.412781 0.207283 0.223087 0.156849 1 
1 85.8 0.412183 0.207518 0.223226 0.157073 1 
1 86 0.411682 0.207652 0.22338 0.157286 1 
1 86.2 0.411249 0.20771 0.223541 0.1575 1 
1 86.4 0.410819 0.207754 0.223699 0.157728 1 
1 86.6 0.410332 0.207852 0.223845 0.157971 1 
1 86.8 0.409758 0.208046 0.223978 0.158217 1 
1 87 0.409108 0.20833 0.224105 0.158458 1 
1 87.2 0.408418 0.208655 0.224235 0.158692 1 
1 87.4 0.407749 0.208954 0.22438 0.158917 1 
1 87.6 0.407153 0.209168 0.224547 0.159132 1 
1 87.8 0.406649 0.209281 0.224732 0.159338 1 
1 88 0.406204 0.209322 0.224926 0.159547 1 
1 88.2 0.405753 0.209359 0.225117 0.15977 1 
1 88.4 0.40524 0.209457 0.225296 0.160007 1 
1 88.6 0.404638 0.209655 0.225461 0.160246 1 
1 88.8 0.40396 0.20994 0.22562 0.16048 1 
1 89 0.403249 0.210259 0.225786 0.160707 1 
1 89.2 0.402562 0.210543 0.22597 0.160924 1 
1 89.4 0.401952 0.210737 0.22618 0.161131 1 
1 89.6 0.401429 0.21083 0.226411 0.16133 1 
1 89.8 0.400956 0.210857 0.226653 0.161534 1 
1 90 0.40047 0.210887 0.226891 0.161751 1 
1 90.2 0.399917 0.210986 0.227117 0.16198 1 
1 90.4 0.399274 0.211186 0.227328 0.162212 1 
1 90.6 0.398557 0.21147 0.227534 0.162439 1 
1 90.8 0.39781 0.211782 0.22775 0.162658 1 
1 91 0.397093 0.212051 0.227988 0.162867 1 
1 91.2 0.396454 0.212227 0.228254 0.163065 1 
1 91.4 0.395897 0.212301 0.228545 0.163257 1 
1 91.6 0.395383 0.212315 0.228846 0.163456 1 
1 91.8 0.394849 0.21234 0.229144 0.163667 1 
1 92 0.394245 0.21244 0.229427 0.163888 1 
1 92.2 0.39355 0.212641 0.229697 0.164112 1 
1 92.4 0.392782 0.212924 0.229962 0.164332 1 
1 92.6 0.39199 0.213228 0.230239 0.164543 1 
1 92.8 0.391233 0.213483 0.230541 0.164743 1 
1 93 0.390554 0.21364 0.230875 0.164932 1 
1 93.2 0.389952 0.213698 0.231233 0.165117 1 
1 93.4 0.389387 0.213701 0.231603 0.165309 1 
1 93.6 0.388798 0.213722 0.231967 0.165513 1 
1 93.8 0.388136 0.213821 0.232315 0.165727 1 
1 94 0.387384 0.214024 0.232649 0.165943 1 
1 94.2 0.386561 0.214305 0.23298 0.166155 1 
